average_salary,Location
126028.571428571,"Everett, WA"
126000.0,Saint Louis
126000.0,Owego/NY//USA
126000.0,"Madison, NJ"
126000.0,"Chicago, IL (Downtown)"
125025.0,Tokyo/Tokyo/Japan
125000.0,palmer alaska
125000.0,York Pennsylvania USA
125000.0,Prescott Valley AZ
125000.0,"Park Ridge, NJ, USA"
125000.0,North Texas USA
125000.0,"Metro Sacramento, California, USA"
125000.0,King Washington USA
125000.0,"Hanover, PA"
125000.0,Gladstone OREGON USA
125000.0,"Edmond, OK USA"
125000.0,Asheville North Carolina USA
124954.133333333,Kentucky
124877.380952381,"Bellevue, WA, USA"
124544.0,"Rochester Hills, MI, USA"
124500.0,Saint George Utah US
124300.0,"Tysons Corner, VA, USA"
124139.75,Tampa/Florida/USA
124093.068181818,Switzerland
124026.666666667,MD/USA
124000.0,Trail BC
124000.0,"Piedmont Triad, NC, USA"
124000.0,"Cary, NC, USA"
124000.0,Ben Lomond/CA/USA
124000.0,"Atherton, CA, USA"
123857.142857143,White Plains NY USA
123000.0,"Wiesbaden, Germany"
123000.0,"Oaks, PA, USA"
123000.0,Auburn Alabama USA
122919.0,"Auburn, WA"
122894.125,"Dubai, UAE"
122777.777777778,"San Mateo, CA, USA"
122601.0,Littleton/Colorado/USA
122600.0,"Centennial, Colorado, USA"
122580.684931507,Massachusetts
122500.0,"Vienna, VA"
122500.0,Hampton NH
